FECHA_OP,CONCEPTO,F_ VALOR,IMPORTE,SALDO
04/01/2016,TRASPASO,04/01/2016,"-583,86","38122,92"
04/01/2016,TRASPASO,04/01/2016,-400,"37722,92"
05/01/2016,TRANSFERENCIA A: JOSE MARIA ROMERO,05/01/2016,-6000,"31722,92"
07/01/2016,BONIFICACION,31/12/2015,"1,35","31724,27"
07/01/2016,TRANSFERENCIA A: JOSE MARIA ROMERO,08/01/2016,-6000,"25724,27"
11/01/2016,R/ TELEFONICA DE ESPANA S.A.,11/01/2016,"-51,04","25673,23"
11/01/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",11/01/2016,"-24,7","25648,53"
11/01/2016,CUOTA PRESTAMO,10/01/2016,"-437,45","25211,08"
12/01/2016,ABONO TRANSFERENCIA OMT,12/01/2016,318,"25529,08"
15/01/2016,R/ AIGUES DE BARCELONA EMGCIA,15/01/2016,"-119,24","25409,84"
18/01/2016,TRANSFERENCIA A: JOSE MARIA ROMERO,18/01/2016,-6000,"19409,84"
21/01/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",21/01/2016,"-13,38","19396,46"
21/01/2016,TRASPASO,21/01/2016,"-89,52","19306,94"
22/01/2016,R/ Som Energia SCCL,22/01/2016,"-34,19","19272,75"
25/01/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/01/2016,"1123,08","20395,83"
26/01/2016,R/ 1y1 Internet Espana S.L.U,26/01/2016,"-42,33","20353,5"
26/01/2016,ABONO TRASPASO DE EFECTIVO,26/01/2016,2000,"22353,5"
01/02/2016,TRASPASO,01/02/2016,-400,"21953,5"
02/02/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",02/02/2016,"-29,65","21923,85"
02/02/2016,R/ Gas Natural Servicios S.A,02/02/2016,"-307,98","21615,87"
03/02/2016,R/ AJUNTAMENT DE BARCELONA,03/02/2016,"-71,99","21543,88"
04/02/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",04/02/2016,-50,"21493,88"
